date,headline,leakage_reason
2024-07-11,Markets & Finance -- Wednesday's Markets: S&P 500 Clinches Longest Streak of Records Since 2021 --- Traders are showing confidence rate cuts are on the way after Powell's testimony,daily market recap
2024-07-17,"Wall Street today: S&P 500, Nasdaq drop on big tech & chip stocks sell-off over China trade sanction worries",daily market recap
2024-07-19,Stock market today: Stocks tumble as the S&P 500 caps off its worst week in 3 months,daily market recap
2024-07-19,"Dow Falls 533 Points, Ending Win Streak --- Declines are broad- based with 10 of 11 S&P 500 industry groups dropping",same-day outcome phrase
2024-07-31,"Wall Street today: S&P 500, Nasdaq sharply higher on chip stocks rally, investors eye Fed decision",daily market recap
2024-08-01,S&P 500 jumps to best day in 5 months,same-day outcome phrase
2024-08-01,"Wall Street cheers US Fed policy: S&P 500 clocks best day in 5 months, tech-rich Nasdaq soars on Powell's rate cut view",same-day outcome phrase
2024-08-02,"Wall Street today: S&P 500 set for worst day since 2022, tech-heavy Nasdaq crashes 3% on weak US jobs data",daily market recap
2024-08-06,"Wall Street today: S&P 500, Nasdaq climb over 1% after global markets rout",daily market recap
2024-08-08,Russia: S&P 500 stock index falls by 3% for the first time since September 2022,same-day outcome phrase
2024-08-08,"Finance & Markets -- Wednesday's Markets: S&P 500 Blows Early Gains, Ends Lower --- Tech, healthcare, consumer discretionary pull broad index lower",daily market recap
2024-08-08,Stock market today: S&P 500 has its best day since 2022 as stocks rally after encouraging labor market data,daily market recap
2024-08-13,Finance & Markets -- Monday's Markets: S&P 500 Holds Steady Ahead Of Fresh Data,daily market recap
2024-08-15,Wall Street today: S&P 500 rises 1% on July's retail sales data; Tesla up 4%,daily market recap
2024-08-16,S&P 500 caps off its best week of the year after strong economic data,same-day outcome phrase
2024-08-19,Stock market today: S&P 500 hits 8-day win streak as investors focus on Fed conference,daily market recap
2024-08-20,"Dow Jones, S&P 500 Fall; Palo Alto Soars While Nvidia Sinks (Live Coverage)",same-day outcome phrase
2024-08-20,Stock market today: Indexes trade mixed after the S&P 500 hits longest winning streak of the year,daily market recap
2024-08-21,Job Market Gets Big Reality Check Ahead Of Fed Chair Powell's Speech; S&P 500 Rises,same-day outcome phrase
2024-08-21,Job Market Gets Big Reality Check Ahead Of Fed Chair Powell Speech; S&P 500 Rises,same-day outcome phrase
2024-08-22,"Powell's Jackson Hole speeches tend to lift the stock market  but when they don't, the drop is a doozy; Chart shows S&P 500 usually rises when Powell speaks at the Fed's Wyoming event  with two big exceptions",same-day outcome phrase
2024-08-23,Fed Chair Powell Confirms September Rate Cut  And More  At Jackson Hole; S&P 500 Rises,same-day outcome phrase
2024-08-23,Jackson Hole Jolt: Fed Chair Powell Confirms September Rate Cut  And More; S&P 500 Rises,same-day outcome phrase
2024-08-23,"Wall Street today: S&P 500 nears record high, Nasdaq up 1.5% after Jerome Powell says 'time has come' for rate cuts",daily market recap
2024-08-30,"Key Fed Inflation Rate Fades, But This Just Derailed A Half-Point Rate Cut; S&P 500 Climbs",same-day outcome phrase
2024-09-03,"Investors' Attitude On Stocks Gets Ultra Bullish --- Even with the S&P 500 already up 18% this year, they bet the rally will continue",same-day outcome phrase
2024-09-05,S&P 500 Flashes Warning Ahead Of Key Jobs Report; Tesla Soars As Nvidia Reverses Higher (Live Coverage),same-day outcome phrase
2024-09-05,"Wall Street today: Nasdaq, S&P 500 up after services sector data; Tesla jumps 6% on self-driving announcement",daily market recap
2024-09-06,"Wall Street today: S&P 500 logs worst week in 18 months after US jobs data sparks Fed rate cut debates, Nvidia sinks 5%",daily market recap
2024-09-09,"S&P 500 just saw its worst first week of September since 1953, this chart shows; 'There have only been four other years where the S&P 500 dropped 2.5% or more to kick off the month,' according to Bespoke",same-day outcome phrase
2024-09-09,Dell Stock Rises on S&P 500 News. Why Wall Street Thinks More Gains Will Follow.,same-day outcome phrase
2024-09-10,Dow Jones Futures: Trump-Harris Debate Due With S&P 500 Near Key Level; Tesla Jumps,same-day outcome phrase
2024-09-11,"Core Inflation Perks Up, Sinking Odds Of Big Fed Rate Cut; S&P 500 Slides",same-day outcome phrase
2024-09-12,Stock market today: S&P 500 hits 4-day winning streak as stocks rise after latest inflation data,daily market recap
2024-09-13,"Nasdaq, S&P 500 Make It 5 Straight Gains; Small Caps Lead As Index Clears Important Level (Live Coverage)",same-day outcome phrase
2024-09-13,Stock market today: S&P 500 notches 5-day streak of gains ahead of next week's Fed meeting,daily market recap
2024-09-13,Stock market today: S&P 500 goes for 5-day win streak as markets look ahead to next week's Fed meeting,daily market recap
2024-09-17,Retail Sales Mixed As Fed Meeting Weighs Half-Point Rate Cut; S&P 500 Rises,same-day outcome phrase
2024-09-19,"Semiconductor stocks rally after US Fed kicks off easing cycle; Nvidia soars 5%, S&P 500 hits record-high",same-day outcome phrase
2024-09-19,"S&P 500 hits record-high, Nvidia soars 5% after US Fed rate cut triggers rally in semiconductor stocks",same-day outcome phrase
2024-09-20,S&P 500 Nuclear Leader Jumps 20% After Inking 20-Year Microsoft Deal,same-day outcome phrase
2024-09-20,S&P 500 hits record [...]: Briefing,same-day outcome phrase
2024-09-20,S&P 500 hits record high as investors cheer Fed's rate cut: Tech sector drives US equity gains ? Stocks advance in Europe and Asia,same-day outcome phrase
2024-09-23,"Tesla Leads S&P 500 Index, While Biotech Giant Tumbles On Court Ruling",same-day outcome phrase
2024-09-25,"Stock market today: Dow, S&P 500 drop as rally loses steam ahead of fresh economic data",daily market recap
2024-09-26,Stock market today: S&P 500 notches fresh record on labor-market data and China stimulus pledge,daily market recap
2024-09-27,Tame PCE Inflation Keeps Another Big Fed Rate Cut In Play; S&P 500 Rises,same-day outcome phrase
2024-09-30,Fed Chairman Powell Casts Aside This Worry; Rate-Cut Odds Slip But S&P 500 Rises,same-day outcome phrase
2024-10-01,Markets & Finance -- Monday's Markets: S&P 500 Edges Up After Powell Talk,daily market recap
2024-10-01,"Wall Street today: US equities slip ahead of job openings data, S&P 500 & Nasdaq down over 1%",daily market recap
2024-10-04,"Jobs Report Stunner: Strong Hiring Dims Odds Of Big Fed Rate Cut, But S&P 500 Rises",same-day outcome phrase
2024-10-08,"Markets -- Monday's Markets: S&P 500 Falls, 10-Year Yields Rise",daily market recap
2024-10-10,Markets -- Wednesday's Markets: S&P 500 and Dow Reach Records,daily market recap
2024-10-11,"Dow Jones, S&P 500 Finish With Record Highs; Broadcom Retreats, Tesla Tops Losers List (Live Coverage)",same-day outcome phrase
2024-10-11,"Dow Jones, S&P 500 Ease From Record Highs; Payment Stock Soars While Tesla Loses (Live Coverage)",same-day outcome phrase
2024-10-12,"EXCHANGE --- Markets & Finance -- Friday's Markets: S&P 500, Dow Break Records On Strong Financial Earnings",daily market recap
2024-10-14,Stock market today: S&P 500 hits another record close as rally presses on amid earnings,daily market recap
2024-10-14,Dow Jones Futures: S&P 500 Hits New High As Nvidia Closes At Record Level,same-day outcome phrase
2024-10-15,Dow Jones Futures: S&P 500 Hits New High As Nvidia Closes At Record Level,same-day outcome phrase
2024-10-17,Retail Sales Are Solid As Jobless Claims Surprisingly Fall; S&P 500 Rises,same-day outcome phrase
2024-10-19,"EXCHANGE --- Markets & Finance -- Friday's Markets: Dow Industrials, S&P 500 Hit New Highs",daily market recap
2024-10-20,This stock market rotation is the 'lifeblood' of the bull market as S&P 500 logs record; 'These next couple weeks are going to be about corporate America',same-day outcome phrase
2024-10-22,Markets -- Monday's Markets: S&P 500 and Dow Industrials Slip,daily market recap
2024-10-23,"Markets -- Tuesday's Markets: Treasury Yields Rise, S&P 500 Edges Lower After Earnings Flurry",daily market recap
2024-10-25,"Stock market today: S&P 500 ends 6-week win streak, while Nasdaq rises on mega-cap rally",daily market recap
2024-10-25,"Wall Street today: Nasdaq, S&P 500 rise as Treasury yields ease, Tesla & Nvidia up over 2% each",daily market recap
2024-10-25,Stock market today: Indexes rise but S&P 500 on track to snap 6-week win streak as yields spike,daily market recap
2024-11-01,"Jobs Report: Fed Rate-Cut Odds Jump As Hiring Stalls Amid Strike, Hurricane; S&P 500 Rises",same-day outcome phrase
2024-11-06,Banks and Tesla lead list of top-performing stocks following Trump's victory; The S&P 500 financial sector rose 5% when trading opened on Wednesday,same-day outcome phrase
2024-11-06,"Stock Market Today: Dow Jones Gains 1,500 Points, S&P 500 Closes At New Highs; Nvidia, Tesla Soar (Live Coverage)",daily market recap
2024-11-07,"Stock Market Today: Nasdaq, S&P 500 Add Gains But Small Caps Lag; Fed Makes Expected Rate Cut (Live Coverage)",daily market recap
2024-11-08,"Stock Market Today: Dow Jones, S&P 500 Hit Record Highs But Techs Drag Nasdaq (Live Coverage)",daily market recap
2024-11-13,"Core CPI Inflation Stuck Above 3%, But Fed Rate Cut Odds Rise; S&P 500 Falls (Live Coverage)",same-day outcome phrase
2024-11-14,Markets & Finance -- Wednesday's Markets: Dow and S&P 500 Rise After Data On Prices; Bitcoin Adds to Streak,daily market recap
2024-11-15,Retail Sales Solid After Powell Caution On Fed Rate Cuts; S&P 500 Falls,same-day outcome phrase
2024-11-22,S&P 500: Texas Pacific Land Rises On S&P 500 Index Entry,same-day outcome phrase
2024-11-26,NRG Energy Is S&P 500's Top Stock Today. Why It Gained a Bull.,same-day outcome phrase
2024-11-26,"Stock market today: S&P 500, Dow end at record as investors shake off tariff fears, digest Fed minutes",daily market recap
2024-11-29,Super Micro leads S&P 500 losers to cap turbulent month for AI stocks; Super Micro's stock has gained or fallen more than 10% in a single day 10 times this month,same-day outcome phrase
2024-11-29,"Wall Street holiday: Nasdaq, NYSE to close early on account of Black Friday; S&P 500 up 25% YTD",same-day outcome phrase
2024-11-30,Super Micro leads S&P 500 losers to cap turbulent month for AI stocks; Super Micro's stock has gained or fallen more than 10% in a single day 10 times this month,same-day outcome phrase
2024-12-03,"Dow Jones Futures: S&P 500, Nasdaq Hit New Highs; AI Stock Credo Soars 34% On Earnings",same-day outcome phrase
2024-12-03,Markets -- Monday's Markets: Nasdaq and S&P 500 Hit Records To Start December; Dollar Gains,daily market recap
2024-12-03,"S&P 500 positioning is 'completely one-sided' as bears give up and bullish sentiment soars, Citi says",same-day outcome phrase
2024-12-04,"Wall Street today: US stocks rise as dollar gains steady ground; S&P 500, Nasdaq hit record highs",daily market recap
2024-12-06,Stock market today: S&P 500 ends at record high as November jobs data fuels investor optimism,daily market recap
2024-12-06,"Jobs Report: Unemployment Rises, Clearing Way For Fed Rate Cut; S&P 500 Gains",same-day outcome phrase
2024-12-07,"EXCHANGE --- Markets & Finance -- Friday's Markets: Nasdaq Composite, S&P 500 Set Records --- Monthly jobs report solidified views for a quarter-point Fed rate cut this month",daily market recap
2024-12-12,"Wall Street today: S&P 500, Nasdaq slid at US market open as investors eye economic data ahead of Fed meeting",daily market recap
2024-12-19,"Dow Jones, S&P 500 Claw Back; Palantir Climbs As Telehealth Name Topples (Live Coverage)",same-day outcome phrase
2024-12-31,"Walgreens and Intel lead list of stocks in the S&P 500 that fell hardest 2024; During another excellent year for the broad U.S. stock market, 96 stocks among the S&P 500 showed double-digit declines",same-day outcome phrase
